Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made,geometry;;
"Jeff Bezos,177,United States,e-commerce,1,57,""Seattle, Washington"",United States,In Relationship,4,""Bachelor of Arts/Science, Princeton University"",TRUE,POINT (-122.3300624 47.6038321)";;
"Elon Musk,151,United States,electric vehicles,2,49,""Austin, Texas"",United States,In Relationship,7,""Bachelor of Arts/Science, University of Pennsylvania"",TRUE,POINT (-97.74369950000001 30.2711286)";;
"Bernard Arnault & family,150,France,luxury goods,3,72,""Paris, France"",France,Married,5,""Bachelor of Arts/Science, Ecole Polytechnique de Paris"",FALSE,POINT (2.3514616 48.8566969)";;
"Bill Gates,124,United States,software,4,65,""Medina, Washington"",United States,Divorced,3,""Drop Out, Harvard University"",TRUE,POINT (-122.2264453 47.620548)";;
"Mark Zuckerberg,97,United States,social network,5,36,""Palo Alto, California"",United States,Married,2,""Drop Out, Harvard University"",TRUE,POINT (-122.1598465 37.4443293)";;
"Warren Buffett,96,United States,finance,6,90,""Omaha, Nebraska"",United States,""Widowed, Remarried"",3,""Master of Science, Columbia University";" Bachelor of Arts/Science, University of Nebraska Lincoln"",TRUE,POINT (-95.9383758 41.2587459)";
"Larry Ellison,93,United States,software,7,76,""Lanai, Hawaii"",United States,In Relationship,4,""Drop Out, University of Chicago";" Drop Out, University of Illinois, Urbana-Champaign"",TRUE,POINT (-156.9029493 20.8305441)";
"Larry Page,91.5,United States,online services,8,48,""Palo Alto, California"",United States,Married,1,""Master of Science, Stanford University";" Bachelor of Arts/Science, University of Michigan"",TRUE,POINT (-122.1598465 37.4443293)";
"Sergey Brin,89,United States,online services,9,47,""Los Altos, California"",United States,Married,3,""Master of Science, Stanford University";" Bachelor of Arts/Science, University of Maryland, College Park"",TRUE,POINT (-122.116578 37.3790629)";
"Mukesh Ambani,84.5,India,diversified,10,64,""Mumbai, India"",India,Married,3,""Drop Out, Stanford University";" Bachelor of Science in Engineering, University of Mumbai"",FALSE,POINT (72.8773928 19.0759899)";
"Amancio Ortega,77,Spain,fashion retail,11,85,""La Coruna, Spain"",Spain,Married,3,,TRUE,POINT (-8.3958768 43.3712091)";;
"Francoise Bettencourt Meyers & family,73.6,France,beauty products,12,67,""Paris, France"",France,Married,2,,FALSE,POINT (2.3514616 48.8566969)";;
"Zhong Shanshan,68.9,China,""beverages, pharmaceutical"",13,66,""Hangzhou, China"",China,,,,TRUE,POINT (120.2052342 30.2489634)";;
"Steve Ballmer,68.7,United States,software,14,65,""Hunts Point, Washington"",United States,Married,3,""Bachelor of Arts/Science, Harvard University";" Drop Out, Stanford University"",TRUE,POINT (-122.230124 47.6434321)";
"Ma Huateng,65.8,China,internet media,15,49,""Shenzhen, China"",China,Married,,""Bachelor of Arts/Science, Shenzhen University"",TRUE,POINT (114.0543297 22.555454)";;
"Carlos Slim Helu & family,62.8,Mexico,telecom,16,81,""Mexico City, Mexico"",Mexico,Widowed,6,""Bachelor of Arts/Science, Universidad Nacional Autonoma de Mexico"",TRUE,POINT (-99.1331785 19.4326296)";;
"Alice Walton,61.8,United States,retail store,17,71,""Fort Worth, Texas"",United States,Divorced,,""Bachelor of Arts/Science, Trinity University"",FALSE,POINT (-97.33274590000001 32.753177)";;
"Jim Walton,60.2,United States,retail store,18,72,""Bentonville, Arkansas"",United States,Married,4,""Bachelor of Arts/Science, University of Arkansas"",FALSE,POINT (-94.2088172 36.3728538)";;
"Rob Walton,59.5,United States,retail store,19,76,""Bentonville, Arkansas"",United States,Married,3,""Doctor of Jurisprudence, Columbia University";" Bachelor of Arts/Science, University of Arkansas"",FALSE,POINT (-94.2088172 36.3728538)";
"Michael Bloomberg,59,United States,Bloomberg LP,20,79,""New York, New York"",United States,In Relationship,2,""Master of Business Administration, Harvard Business School";" Bachelor of Arts/Science, Johns Hopkins University"",TRUE,POINT (-74.00601519999999 40.7127281)";
"Colin Zheng Huang,55.3,China,e-commerce,21,41,""Shanghai, China"",China,,,""Master, University of Wisconsin Madison";" Bachelor of Arts/Science, Zhejiang University"",TRUE,POINT (121.4692071 31.2322758)";
"MacKenzie Scott,53,United States,e-commerce,22,51,""Seattle, Washington"",United States,Married,4,""Bachelor of Arts/Science, Princeton University"",FALSE,POINT (-122.3300624 47.6038321)";;
"Daniel Gilbert,51.9,United States,finance,23,59,""Franklin, Michigan"",United States,Married,5,""Bachelor of Arts/Science, Michigan State University";" LLB, Wayne State University"",TRUE,POINT (-83.3060432 42.5222567)";
"Gautam Adani & family,50.5,India,""infrastructure, commodities"",24,58,""Ahmedabad, India"",India,Married,2,,TRUE,POINT (72.5797068 23.0216238)";;
"Phil Knight & family,49.9,United States,sports apparel,25,83,""Hillsboro, Oregon"",United States,Married,3,""Master of Business Administration, Stanford Graduate School of Business";" Bachelor of Arts/Science, University of Oregon"",TRUE,POINT (-122.989827 45.5228939)";
"Jack Ma,48.4,China,e-commerce,26,56,""Hangzhou, China"",China,Married,,""Bachelor of Arts/Science, Hangzhou Teacher's Institute"",TRUE,POINT (120.2052342 30.2489634)";;
"Charles Koch,46.4,United States,oil & gas,27,85,""Wichita, Kansas"",United States,Married,2,""Bachelor of Arts/Science, Massachusetts Institute of Technology";" Master of Science, Massachusetts Institute of Technology"",FALSE,POINT (-97.3375448 37.6922361)";
"Julia Koch & family,46.4,United States,oil & gas,27,59,""New York, New York"",United States,Widowed,3,,FALSE,POINT (-74.00601519999999 40.7127281)";;
"Masayoshi Son,45.4,Japan,""internet, telecom"",29,63,""Tokyo, Japan"",Japan,Married,2,""Bachelor of Arts/Science, University of California, Berkeley"",TRUE,POINT (139.7594549 35.6828387)";;
"Michael Dell,45.1,United States,computer hardware,30,56,""Austin, Texas"",United States,Married,4,""Drop Out, The University of Texas at Austin"",TRUE,POINT (-97.74369950000001 30.2711286)";;
"Tadashi Yanai & family,44.1,Japan,fashion retail,31,72,""Tokyo, Japan"",Japan,Married,2,""Bachelor of Arts/Science, Waseda University"",TRUE,POINT (139.7594549 35.6828387)";;
"François Pinault & family,42.3,France,luxury goods,32,84,""Paris, France"",France,Married,3,""Drop Out, High School"",TRUE,POINT (2.3514616 48.8566969)";;
"David Thomson & family,41.8,Canada,media,33,63,""Toronto, Canada"",Canada,Divorced,4,""Master of Arts, University of Cambridge"",FALSE,POINT (-79.3839347 43.6534817)";;
Beate Heister & Karl Albrecht Jr.,39.2,Germany,supermarkets,34,,Germany,Germany,,,,FALSE,POINT (10.4234469 51.0834196);;
"Wang Wei,39,China,package delivery,35,50,""Shenzhen, China"",China,,,,TRUE,POINT (114.0543297 22.555454)";;
"Miriam Adelson,38.2,United States,casinos,36,75,""Las Vegas, Nevada"",United States,Widowed,5,""Bachelor of Science, Hebrew University Jerusalem"",FALSE,POINT (-115.148516 36.1672559)";;
"He Xiangjian,37.7,China,home appliances,37,78,""Foshan, China"",China,Married,3,,TRUE,POINT (113.1146335 23.0247687)";;
"Dieter Schwarz,36.9,Germany,retail,38,81,""Neckarsulm, Germany"",Germany,Married,2,,FALSE,POINT (9.224944300000001 49.191735)";;
"Zhang Yiming,35.6,China,social network,39,37,""Beijing, China"",China,,,""Bachelor of Engineering, Nankai University"",TRUE,POINT (116.3912757 39.906217)";;
"Giovanni Ferrero,35.1,Italy,food,40,56,""Brussels, Belgium"",Italy,Married,2,,FALSE,POINT (4.351697 50.8465573)";;
"Alain Wertheimer,34.5,France,luxury goods,41,72,""New York, New York"",France,Married,3,,FALSE,POINT (-74.00601519999999 40.7127281)";;
"Gerard Wertheimer,34.5,France,luxury goods,41,70,""New York, New York"",France,Married,2,,FALSE,POINT (-74.00601519999999 40.7127281)";;
"Li Ka-shing,33.7,Hong Kong,diversified,43,92,Hong Kong,Hong Kong,Widowed,2,""Drop Out, High School"",TRUE,POINT (114.1628131 22.2793278)";;
"Qin Yinglin & family,33.5,China,pig breeding,44,56,""Nanyang, China"",China,Married,,,TRUE,POINT (112.5292693 33.0010496)";;
"William Lei Ding,33,China,online games,45,49,""Hangzhou, China"",China,,,""Bachelor of Arts/Science, University of Electronic Science and Technology of China"",TRUE,POINT (120.2052342 30.2489634)";;
"Len Blavatnik,32,United States,""music, chemicals"",46,63,""London, United Kingdom"",United States,Married,,""Master of Science, Columbia University"; Master of Business Administration, Harvard Business School;" Bachelor of Arts/Science, Moscow State University"",TRUE,POINT (-0.1276474 51.5073219)"
"Lee Shau Kee,31.7,Hong Kong,real estate,47,93,""Hong Kong, Hong Kong"",Hong Kong,Divorced,5,,TRUE,POINT (114.1628131 22.2793278)";;
"Jacqueline Mars,31.3,United States,""candy, pet food"",48,81,""The Plains, Virginia"",United States,Divorced,3,""Bachelor of Arts/Science, Bryn Mawr College"",FALSE,POINT (-77.774073 38.8624506)";;
"John Mars,31.3,United States,""candy, pet food"",48,85,""Jackson, Wyoming"",United States,Married,3,""Diploma, The Hotchkiss School";" Bachelor of Arts/Science, Yale University"",FALSE,POINT (-110.761815 43.479965)";
"Yang Huiyan & family,29.6,China,real estate,50,39,""Foshan, China"",China,Married,,""Bachelor of Arts/Science, Ohio State University"",FALSE,POINT (113.1146335 23.0247687)";;
"Alexey Mordashov & family,29.1,Russia,""steel, investments"",51,55,""Moscow, Russia"",Russia,Married,7,""Bachelor of Arts/Science, Leningrad Institute of Economics";" Master of Business Administration, University of Northumbria"",TRUE,POINT (37.6174943 55.7504461)";
"Robin Zeng,28.4,Hong Kong,batteries,52,52,""Ningde, China"",Hong Kong,,,""Doctorate, Chinese Academy of Social Sciences"",TRUE,POINT (119.5432715 26.6695006)";;
"Hui Ka Yan,27.7,China,real estate,53,62,""Shenzhen, China"",China,Married,2,""Bachelor of Arts/Science, Wuhan U of  Science & Tec"",TRUE,POINT (114.0543297 22.555454)";;
"Susanne Klatten,27.7,Germany,automobiles,53,59,""Bad Homburg, Germany"",Germany,Married,3,""Master of Business Administration, International Institute for Management and Development"",FALSE,POINT (8.6287451 50.2227094)";;
"Vladimir Potanin,27,Russia,metals,55,60,""Moscow, Russia"",Russia,Married,7,""Bachelor of Arts/Science, Moscow Institute of International Relations"",TRUE,POINT (37.6174943 55.7504461)";;
"Dietrich Mateschitz,26.9,Austria,beverages,56,76,""Fuschl am See, Austria"",Austria,Single,1,""Master of Business Administration, University of Vienna"",TRUE,POINT (13.3027787 47.7963895)";;
"Pang Kang,26.4,China,soy sauce,57,65,""Foshan, China"",China,,,,TRUE,POINT (113.1146335 23.0247687)";;
"Klaus-Michael Kuehne,26.3,Germany,shipping,58,83,""Schindellegi, Switzerland"",Germany,Married,,,FALSE,POINT (8.711202699999999 47.175612)";;
